Title,Rating,Genre,Runtime
"Deprisa, Deprisa",7.0,"Crime, Drama, Romance",99 min
Dracula Exotica,5.6,"Adult, Comedy, Horror",100 min
Egon Schiele: Excess and Punishment,5.9,"Biography, Drama",95 min
The Entity,6.7,"Drama, Horror",125 min
Fallen Angel,6.9,Drama,100 min
Unknown,N/A,N/A,N/A
Friday the 13th Part 2,6.1,"Horror, Mystery, Thriller",87 min
Genocide,7.3,"Documentary, Drama, History",90 min
Dalmasingong,5.7,"Action, Drama",100 min
Habanera,6.6,Drama,108 min
Honky Tonk Freeway,5.2,"Action, Comedy",107 min
Inmates: A Love Story,6.0,"Drama, Romance",100 min
Junior High School,7.5,"Short, Comedy, Drama",39 min
King of the Mountain,5.4,"Action, Adventure, Drama",90 min
Crazy Nuts,3.8,"Action, Comedy, Drama",87 min
Drunken Dragon,7.1,"Action, Comedy, Fantasy",98 min
Der Magnetiseur,N/A,N/A,N/A
#DUPE#,N/A,N/A,N/A
The Munsters' Revenge,5.9,"Comedy, Crime, Family",96 min
Neighbors,5.5,Comedy,94 min
Nothing to Hide,6.0,"Adult, Comedy, Drama",101 min
Othello,7.2,"Drama, Romance",195 min
Peter-No-Tail,7.0,"Animation, Comedy, Drama",81 min
Pohádka svatojánské noci,6.6,"Comedy, Family",79 min
The Weather Forecast,6.6,Drama,86 min
Rayon 69,N/A,N/A,N/A
#DUPE#,N/A,N/A,N/A
Demon Rage,3.7,Horror,98 min
The Shanghai Thirteen,6.1,Action,90 min
Do You Remember Dolly Bell?,7.5,"Comedy, Drama, Romance",110 min
Spacy,7.4,Short,10 min
Ein sturer Bock,N/A,N/A,N/A
Tais-toi quand tu parles!,4.3,Comedy,89 min
#DUPE#,N/A,N/A,N/A
Justification,3.8,N/A,N/A
Un assassin qui passe,5.8,Thriller,110 min
El vecindario,5.9,Action,90 min
The Voices of the Neighbourhood,N/A,"Short, Documentary",8 min
Wie die Weltmeister,5.1,Comedy,76 min
Young Lust,5.8,Comedy,90 min
The Confessions of Felix Krull,6.7,"Comedy, Crime, Drama",60 min
Unknown,N/A,N/A,N/A
Let There Be Love,7.6,Comedy,30 min
Report to Murphy,8.1,Comedy,30 min
"Tom, Dick and Harriet",8.2,Comedy,30 min
Shocking Africa,5.1,Documentary,96 min
Amnestia,6.9,Drama,87 min
Arpa Colla,6.6,Comedy,98 min
Ausgestoßen,N/A,N/A,N/A
Bare Essence,6.0,"Drama, Romance",212 min
Bingo Bongo,6.0,"Comedy, Family",106 min
Bors néni,7.4,Family,N/A
I camionisti,5.0,Comedy,81 min
Chispita y sus gorilas,4.4,"Comedy, Musical",80 min
Canta Gitano,6.1,"Short, Musical",10 min
Dannys Traum,N/A,Drama,90 min
Killing of the Flesh,4.2,"Horror, Mystery, Thriller",92 min
Dirty Looks,6.7,Adult,N/A
Dusty,6.6,Drama,88 min
Engler i sneen,4.2,"Drama, Romance",86 min
Viadukt,5.7,"Crime, Drama",105 min
Fighting Back,5.2,Drama,100 min
Four Artists in France,N/A,N/A,N/A
Five Last Days,6.8,"Drama, History",112 min
El gran mogollón,2.9,Comedy,N/A
Gwiezdny pyl,7.2,Drama,58 min
Help Wanted: Male,6.7,"Comedy, Romance",97 min
Honeyboy,6.4,Drama,100 min
El huésped de la niebla,5.8,"Short, Documentary",10 min
L'indiscrétion,5.8,"Crime, Thriller",94 min
Jack and the Beanstalk,N/A,"Adventure, Comedy, Family",58 min
Jägerschlacht,5.0,"Adventure, Drama",93 min
The Klan: A Legacy of Hate in America,6.5,"Documentary, Short",30 min
Leyenda,N/A,N/A,N/A
Lookin' to Get Out,5.1,Comedy,105 min
Macbeth,6.9,Drama,148 min
Unknown,N/A,N/A,N/A
Missing,7.7,"Biography, Drama, History",122 min
Femmes,4.3,Drama,86 min
Nastojanje,7.0,Drama,95 min
Not Just Another Affair,5.5,"Comedy, Romance",95 min
One Shoe Makes It Murder,6.0,"Mystery, Thriller",95 min
The Prefab People,7.1,Drama,102 min
Le petit théâtre,N/A,"Documentary, Short",30 min
Flights in Dreams and in Reality,7.5,Drama,92 min
Interrogation,7.9,"Crime, Drama, Thriller",118 min
Rearranged,8.1,Short,N/A
Roaring Fire,6.6,"Action, Comedy, Crime",95 min
S.A.S. San Salvador,3.2,"Action, Thriller",85 min
"Be Gentle, Penguin",5.6,"Romance, Comedy",94 min
Si ringrazia la regione Puglia per averci fornito i milanesi,4.9,Comedy,98 min
Something So Right,7.3,Comedy,120 min
Still of the Night,6.0,"Crime, Drama, Mystery",93 min
Tales of the Gold Monkey: Part 1,8.3,"Adventure, Drama, Romance",93 min
"Heads I Win, Tails You Lose",6.6,Comedy,104 min
Toto,5.4,Drama,82 min
La truite,5.9,"Drama, Romance",103 min
Vasiliy Buslaev,6.9,"Drama, History",81 min
Vérszerzödés,7.5,Drama,78 min
Wild Style,7.0,"Drama, Music",82 min
Yol,8.0,Drama,107 min
The 1/2 Hour Comedy Hour,5.9,Comedy,30 min
Buffalo Bill,7.2,Comedy,30 min
#DUPE#,N/A,N/A,N/A
Just Good Friends,7.1,Comedy,92 min
Oh Madeline,7.7,Comedy,30 min
Struggle,N/A,Comedy,30 min
A Woman of Substance,7.5,"Drama, Romance",300 min
